Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
Jan 30,1,1,0,0,0,0
Jan 31,0,1,0,0,0,0
Feb 1,0,1,0,0,0,0
Feb 2,1,2,0,0,0,0
Feb 3,1,3,0,0,0,0
Feb 4,0,3,0,0,0,0
Feb 5,0,3,0,0,0,0
Feb 6,0,3,0,0,0,0
Feb 7,0,3,0,0,0,0
Feb 8,0,3,0,0,0,0
Feb 9,0,3,0,0,0,0
Feb 10,0,3,0,0,0,0
Feb 11,0,3,0,0,0,0
Feb 12,0,3,0,0,0,0
Feb 13,0,3,1,1,0,0
Feb 14,0,3,0,1,0,0
Feb 15,0,3,0,1,0,0
Feb 16,0,3,1,2,0,0
Feb 17,0,3,0,2,0,0
Feb 18,0,3,0,2,0,0
Feb 19,0,3,0,2,0,0
Feb 20,0,3,1,3,0,0
Feb 21,0,3,0,3,0,0
Feb 22,0,3,0,3,0,0
Feb 23,0,3,0,3,0,0
Feb 24,0,3,0,3,0,0
Feb 25,0,3,0,3,0,0
Feb 26,0,3,0,3,0,0
Feb 27,0,3,0,3,0,0
Feb 28,0,3,0,3,0,0
Feb 29,0,3,0,3,0,0
Mar 1,0,3,0,3,0,0
Mar 2,2,5,0,3,0,0
Mar 3,1,6,0,3,0,0
Mar 4,22,28,0,3,0,0
Mar 5,2,30,0,3,0,0
Mar 6,1,31,0,3,0,0
Mar 7,3,34,0,3,0,0
Mar 8,5,39,0,3,0,0
Mar 9,9,48,0,3,0,0
Mar 10,15,63,1,4,0,0
Mar 11,8,71,0,4,0,0
Mar 12,10,81,0,4,1,1
Mar 13,10,91,6,10,0,1
Mar 14,11,102,0,10,1,2
Mar 15,10,112,3,13,0,2
Mar 16,14,126,1,14,0,2
Mar 17,20,146,1,15,1,3
Mar 18,25,171,0,15,0,3
Mar 19,27,198,5,20,1,4
Mar 20,58,256,3,23,0,4
Mar 21,78,334,0,23,0,4
Mar 22,69,403,0,23,3,7
Mar 23,94,497,2,25,2,9
Mar 24,74,571,15,40,1,10
Mar 25,86,657,3,43,1,11
Mar 26,73,730,7,50,5,16
Mar 27,153,883,25,75,3,19
Mar 28,136,1019,10,85,5,24
Mar 29,120,1139,17,102,3,27
Mar 30,187,1326,35,137,14,41
Mar 31,309,1635,13,150,6,47
Apr 1,424,2059,19,169,6,53
Apr 2,486,2545,22,191,16,69
Apr 3,560,3105,39,230,14,83
Apr 4,579,3684,56,286,13,96
Apr 5,609,4293,43,329,22,118
Apr 6,484,4777,65,394,16,134
Apr 7,573,5350,75,469,27,161
Apr 8,565,5915,96,565,20,181
Apr 9,813,6728,70,635,46,227
Apr 10,871,7599,151,786,22,249
Apr 11,854,8453,186,972,41,290
Apr 12,758,9211,114,1086,42,332
Apr 13,1243,10454,112,1198,27,359
Apr 14,1031,11485,167,1365,37,396
Apr 15,886,12371,144,1509,27,423
Apr 16,1061,13432,258,1767,26,449
Apr 17,922,14354,273,2040,38,487
Apr 18,1371,15725,426,2466,35,522
Apr 19,1580,17305,388,2854,38,560
Apr 20,1239,18544,419,3273,33,593
Apr 21,1537,20081,703,3976,53,646
Apr 22,1292,21373,394,4370,36,682
Apr 23,1667,23040,642,5012,40,722
Apr 24,1408,24448,484,5496,59,781
Apr 25,1835,26283,442,5938,44,825
Apr 26,1607,27890,585,6523,56,881
Apr 27,1568,29458,580,7103,58,939
Apr 28,1902,31360,636,7739,69,1008
Apr 29,1705,33065,690,8429,71,1079
Apr 30,1801,34866,630,9059,75,1154
May 1,2396,37262,962,10021,77,1231
May 2,2564,39826,831,10852,92,1323
May 3,2952,42778,911,11763,140,1463
May 4,3656,46434,1084,12847,103,1566
